w_mom_52w_no_cta,w_inst_flow_cta,w_pead_no_cta,cagr,vol,sharpe,mdd,calmar
0.35,0.55,0.1,8.867196947709854,12.716516936044748,0.579340788421998,-25.464581749539917,0.34821686980466754
0.35,0.6,0.05,8.623047839687924,12.31836064400339,0.5782464116404518,-24.86185277169365,0.3468385047113487
0.35,0.65,0.0,8.367324392774854,12.003344045541873,0.5721176004553021,-24.27194982380826,0.34473227134671236
0.4,0.0,0.6,10.756358751373508,19.97713242976884,0.46334771939441033,-35.52750451917416,0.3027614491067987
0.4,0.05,0.55,10.635830979771255,19.11612500173015,0.4779122849920889,-34.524184136765925,0.3080690028079422
0.4,0.1,0.5,10.502929280221052,18.27765585068059,0.49256476616971745,-33.51903660272375,0.31334221817603153
0.4,0.15,0.45,10.357714156320498,17.464971372978518,0.5071702648207594,-32.51241917736428,0.3185771596944628
0.4,0.2,0.4,10.200249790182326,16.681840428169043,0.5215401638473317,-31.504694398620725,0.3237692028089913
0.4,0.25,0.35,10.030604003661603,15.932621517871004,0.5354174762824282,-30.496229877986615,0.32891291952458984
0.4,0.3,0.3,9.848848217936744,15.222322757761125,0.5484608591471412,-29.48739808972338,0.3340019417097759
0.4,0.35,0.25,9.655057411477763,14.556642648635485,0.5602292787095522,-28.478576153482294,0.33902879692590127
0.4,0.4,0.2,9.449310076430152,13.941973806014335,0.5701710666678308,-27.47014561051223,0.34398471017984356
0.4,0.45,0.15,9.231688173447882,13.3853455451849,0.577623352893508,-26.462492193623145,0.3488593631280318
0.4,0.5,0.1,9.002277085009114,12.894276655528522,0.5818300076408283,-25.461023173969743,0.35357090810917036
0.4,0.55,0.05,8.761165567245822,12.476510687027421,0.5819868831431926,-24.8530134244091,0.35251924656513256
0.4,0.6,-0.0,8.50844570032605,12.139617816332038,0.5773201270716477,-24.257763164835477,0.3507514539782488
0.45,0.0,0.55,10.73934579353384,19.395961271304316,0.4763541061098707,-34.9027950900044,0.30769300183094545
0.45,0.05,0.5,10.609760951859325,18.553127079693752,0.4910094623256198,-33.89947573966525,0.31297713962711843
0.45,0.1,0.45,10.467837128694146,17.735269622463857,0.5056498897166638,-32.89459031954416,0.3182236661714778
0.45,0.15,0.4,10.31363755157746,16.946005608302155,0.5201011822667815,-31.88849959414153,0.32342812245303176
0.45,0.2,0.35,10.147229101396515,16.189517501167906,0.5341251893870653,-30.88156945279652,0.32858527857228514
0.45,0.25,0.3,9.968682272377173,15.47061411559124,0.547404402249453,-29.87417070082564,0.33368900419725006
0.45,0.3,0.25,9.778071130451371,14.794775383740538,0.5595266515197638,-28.866678844037242,0.33873211335744463
0.45,0.35,0.2,9.575473270029766,14.168165355685053,0.5699731099474667,-27.859473866791173,0.3437061775040858
0.45,0.4,0.15,9.360969769215055,13.597591470022493,0.5781148658970596,-26.852940003768133,0.348601299071963
0.45,0.45,0.1,9.134645143485386,13.090383163762546,0.5832254906502656,-25.84746550563861,0.35340583553511923
0.45,0.5,0.05,8.896587297883919,12.654162252456794,0.5845181332685914,-24.84794616189465,0.3580411531769656
0.45,0.55,0.0,8.646887477747068,12.296485945089431,0.5812138126015716,-24.247366675169,0.3566114041819677
0.5,0.0,0.5,10.713756891614533,18.838989858663542,0.48907913644729606,-34.28042603275496,0.312532781283918
0.5,0.05,0.45,10.575136934666428,18.01659084078435,0.5037099979049835,-33.27731584726274,0.317788158852851
0.5,0.1,0.4,10.424215149663807,17.221893203203184,0.5181901341720054,-32.27290292643366,0.32300209167504673
0.5,0.15,0.35,10.261057470843005,16.458910013416222,0.5322987648453977,-31.267551417753626,0.3281695241737671
0.5,0.2,0.3,10.0857334596421,15.732256211549078,0.5457407598879108,-30.26163043730177,0.3332845360245361
0.5,0.25,0.25,9.89831626347064,15.047195935815136,0.5581316478694267,-29.255513856171934,0.3383401950187393
0.5,0.3,0.2,9.6988825728761,14.40966269225944,0.5689850448255366,-28.249580080398406,0.34332838029000945
0.5,0.35,0.15,9.487512577139512,13.826232517481785,0.577707091721491,-27.24421182454757,0.3482395687656149
0.5,0.4,0.1,9.264289918332302,13.30402516906605,0.5836045722752763,-26.239795879164596,0.35306257567683685
0.5,0.45,0.05,9.029301643867772,12.850506570548504,0.5859147732840227,-25.23672287225378,0.35778423726302955
